<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.01.02	1.05100	1.05275	1.04480	1.04519	72920	62314105000	0
2017.01.03	1.04524	1.04898	1.03399	1.04044	139335	124695935000	7
2017.01.04	1.04044	1.04996	1.03895	1.04871	138590	120546394000	7
2017.01.05	1.04871	1.06149	1.04804	1.06055	170836	140005294000	7
2017.01.06	1.06005	1.06207	1.05235	1.05235	146008	118344198000	0
2017.01.09	1.05292	1.05826	1.05104	1.05723	125800	100548237000	0
2017.01.10	1.05718	1.06268	1.05506	1.05534	147523	114947119000	0
2017.01.11	1.05530	1.06226	1.04534	1.05818	180859	147089506000	0
2017.01.12	1.05818	1.06844	1.05710	1.06109	180739	138775694000	0
2017.01.13	1.06104	1.06730	1.05959	1.06420	140972	104055477000	7
2017.01.16	1.06023	1.06355	1.05789	1.05946	117923	93007350000	0
2017.01.17	1.05946	1.07190	1.05893	1.07120	171611	135952192000	0
2017.01.18	1.07111	1.07150	1.06278	1.06286	145054	119681807000	0
2017.01.19	1.06288	1.06763	1.05888	1.06627	167230	135222494000	0
2017.01.20	1.06610	1.07090	1.06248	1.06982	161072	144331742000	7
2017.01.23	1.07004	1.07688	1.06930	1.07631	156981	133345462000	0
2017.01.24	1.07643	1.07745	1.07199	1.07310	142073	124086980000	0
2017.01.25	1.07288	1.07694	1.07109	1.07465	139081	120542746000	0
2017.01.26	1.07477	1.07653	1.06572	1.06810	146134	129394794000	0
2017.01.27	1.06794	1.07247	1.06579	1.06968	129909	113458241000	0
2017.01.30	1.07023	1.07399	1.06200	1.06920	130424	110750726000	0
2017.01.31	1.06921	1.08120	1.06843	1.07968	168241	151410812000	7
2017.02.01	1.07958	1.08070	1.07298	1.07675	147733	134342550000	0
2017.02.02	1.07668	1.08284	1.07556	1.07569	150389	132245095000	0
2017.02.03	1.07570	1.07973	1.07106	1.07789	138674	119304954000	0
2017.02.06	1.07848	1.07906	1.07053	1.07488	128085	115591625000	0
2017.02.07	1.07392	1.07492	1.06558	1.06820	129264	112363678000	0
