<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.01.04	1.22395	1.23098	1.22280	1.22473	85620	0	0
2021.01.05	1.22466	1.23056	1.22432	1.22965	75380	0	0
2021.01.06	1.22968	1.23494	1.22657	1.23252	118259	0	0
2021.01.07	1.23256	1.23441	1.22452	1.22710	84749	0	0
2021.01.08	1.22713	1.22845	1.21932	1.22218	100138	0	0
2021.01.11	1.22116	1.22285	1.21323	1.21497	79581	0	0
2021.01.12	1.21498	1.22097	1.21372	1.22062	70628	0	0
2021.01.13	1.22064	1.22229	1.21399	1.21568	70247	0	0
2021.01.14	1.21568	1.21784	1.21112	1.21540	82002	0	0
2021.01.15	1.21537	1.21625	1.20750	1.20766	71372	0	0
2021.01.18	1.20813	1.20867	1.20536	1.20757	51965	0	0
2021.01.19	1.20768	1.21449	1.20739	1.21284	59302	0	0
2021.01.20	1.21281	1.21582	1.20767	1.21046	63393	0	0
2021.01.21	1.21043	1.21732	1.21022	1.21640	65018	0	0
2021.01.22	1.21586	1.21894	1.21515	1.21704	57094	0	0
2021.01.25	1.21704	1.21833	1.21160	1.21413	54371	0	0
2021.01.26	1.21371	1.21760	1.21078	1.21592	51913	0	0
2021.01.27	1.21598	1.21696	1.20586	1.21096	74814	0	0
2021.01.28	1.21086	1.21421	1.20805	1.21210	76561	0	0
2021.01.29	1.21209	1.21558	1.20944	1.21353	75639	0	0
2021.02.01	1.21301	1.21364	1.20562	1.20594	63743	0	0
2021.02.02	1.20594	1.20876	1.20117	1.20428	58989	0	0
2021.02.03	1.20423	1.20500	1.20042	1.20351	49377	0	0
2021.02.04	1.20349	1.20428	1.19574	1.19620	51807	0	0
2021.02.05	1.19618	1.20498	1.19522	1.20492	67841	0	0
2021.02.08	1.20426	1.20661	1.20197	1.20493	59895	0	0
2021.02.09	1.20493	1.21221	1.20472	1.21174	64758	0	0
2021.02.10	1.21173	1.21440	1.21088	1.21172	48674	0	0
2021.02.11	1.21172	1.21493	1.21135	1.21303	46803	0	0
2021.02.12	1.21303	1.21349	1.20815	1.21189	55276	0	1
2021.02.15	1.21240	1.21452	1.21167	1.21274	39844	0	0
2021.02.16	1.21271	1.21694	1.20949	1.21053	63015	0	1
2021.02.17	1.21047	1.21089	1.20234	1.20374	69997	0	1
2021.02.18	1.20351	1.20944	1.20350	1.20908	60510	0	1
2021.02.19	1.20908	1.21443	1.20823	1.21174	59796	0	1
2021.02.22	1.21131	1.21694	1.20912	1.21554	66651	0	1
2021.02.23	1.21564	1.21802	1.21353	1.21493	64676	0	1
2021.02.24	1.21493	1.21745	1.21092	1.21665	83207	0	1
2021.02.25	1.21637	1.22432	1.21560	1.21743	106775	0	1
2021.02.26	1.21730	1.21828	1.20622	1.20727	129271	0	1
2021.03.01	1.20688	1.21012	1.20278	1.20488	83306	0	1
2021.03.02	1.20488	1.20944	1.19915	1.20893	80054	0	1
2021.03.03	1.20898	1.21132	1.20429	1.20627	71671	0	0
2021.03.04	1.20627	1.20662	1.19616	1.19694	93524	0	1
2021.03.05	1.19680	1.19767	1.18928	1.19120	96968	0	1
2021.03.08	1.19166	1.19321	1.18442	1.18460	100880	0	1
2021.03.09	1.18456	1.19157	1.18356	1.19001	94052	0	1
